sgRNA,Gene,log2FC_Day4_mTeSR_r1_vs_plasmid,log2FC_Day4_mTeSR_r2_vs_plasmid,log2FC_Day7_E6_r1_vs_plasmid,log2FC_Day7_E6_r2_vs_plasmid,log2FC_Day7_mTeSR_r1_vs_plasmid,log2FC_Day7_mTeSR_r2_vs_plasmid,log2FC_Day9_E6_r1_vs_plasmid,log2FC_Day9_E6_r2_vs_plasmid,log2FC_Day9_mTeSR_r1_vs_plasmid,log2FC_Day9_mTeSR_r2_vs_plasmid,log2FC_Day14_E6_r1_vs_plasmid,log2FC_Day14_E6_r2_vs_plasmid,log2FC_Day14_mTeSR_r1_vs_plasmid,log2FC_Day14_mTeSR_r2_vs_plasmid
GS0001_A4_HUMAN,A4,-0.159584366951865,0.1469597864460183,0.0072902642700718,0.025352644749601,-0.1297597242968482,0.2672433025721528,-0.047307418681969,0.2095278355778234,-0.2604450837228818,0.2333125170307131,-0.1815295056338861,-0.1889675220941828,-0.1838817195587658,-0.0788641164348344
GS0002_A4_HUMAN,A4,0.525005807576612,0.5178445464726078,0.6173866625743276,0.4603939565031041,0.5018954624186538,0.7156062537572865,0.545476752322795,0.1889871783522405,0.366329336966233,0.4990243343044565,0.711468001357483,0.2623308887388891,0.7761616594043677,0.5405708103476208
GS0003_A4_HUMAN,A4,-0.8542290400173673,-0.7895658731658397,-0.7566708613388311,-0.7334041445824564,-0.9833704805367454,-0.9379864027568878,-0.7653925422716767,-0.901745585087312,-0.7317278145555495,-1.0998640543635183,-0.8479158047468456,-1.2279691805694828,-0.8615539760916562,-0.9741977427164308
GS0004_A4_HUMAN,A4,0.0327368780246111,0.3365503881857652,-1.0613584164795211,0.3253532247634698,0.5925934665553694,0.370683194685153,-0.921437836627705,0.5553256926205243,0.1990670318340868,-0.0817567951341153,-0.3565567790067003,-0.5280890776519946,-0.1149840081631339,-0.4840402538055368
GS0005_A4_HUMAN,A4,-1.961955521993616,-6.680142882279235,-6.680142882279235,-5.537932993804336,-4.801678418232777,-6.680142882279235,-3.1429851978232444,-3.1910470377347027,-5.505886982912122,-6.680142882279235,-3.035759649574452,-5.668745504626262,-2.4205511233967885,-2.9282962355853708
GS0007_ADA2_HUMAN,ADA2,-1.753422883575138,-2.413117367193254,-1.034717141914366,-2.2800279773739467,-1.65763931706707,-2.02422318650612,-2.8250416679508215,-1.821136594974611,-1.2191697801739505,-1.7160319940583983,-2.611915186074506,-2.2006517547198383,-2.3103745107649765,-1.470023192810178
GS0008_ADIPL_HUMAN,ADIPL,-1.2319070155673568,-1.111516508979566,-1.3793057651493843,-1.861115534728241,-1.9291587148089675,-1.653815437978146,-1.0502532809375609,-2.2160708518060286,-1.3497737821485298,-1.6277860294644206,-1.110379243673954,-1.8419498396714689,-1.5786090452678485,-1.3100156364902436
GS0009_ADIPL_HUMAN,ADIPL,-0.9880994829982566,-1.7936110854889566,-1.4575162377196884,-1.1690516572660314,-1.988813711925851,-1.6399612219719923,-1.1468060534165954,-1.2265423033563128,-1.48611284595892,-1.133201559081563,-1.461714622696543,-1.2237697203725322,-1.8918315037944,-1.0292037320097671
GS0010_ADIPO_HUMAN,ADIPO,-0.6286780732126687,0.0310077159189354,-0.2014842006158126,-0.4429161884112016,-0.0349489799096502,-1.0008336224003518,-0.280712469698642,-0.3507780567826977,-0.8214953969181646,-0.4025611414366032,-0.6205541777935561,-0.4666827006962073,-0.2539643500990696,-0.6567693431262018
GS0011_AIMP1_HUMAN,AIMP1,0.0105238405745033,0.2452937313794603,-0.1543744278630736,-0.1266762460413453,0.0071230084295965,-0.0391712251115929,-0.1193990060346603,-0.0686349203523697,-0.149384862602659,-0.3451523382932944,-0.344183052409587,-0.3499227341609749,-0.2713603297636595,-0.3977155852609471
GS0012_AIMP1_HUMAN,AIMP1,0.8861821162089738,-0.2491370884639492,0.1316386839504124,-0.1284113610735797,0.6926829965257388,0.1914062071248734,0.2445575036360887,-0.397188662024142,-0.5237169898048846,-0.2793870137090106,-0.4671345060988079,-0.3293214819486509,-0.3396627663136593,-0.8740397205257988
GS0013_ALKB1_HUMAN,ALKB1,1.3905186150667657,1.8397131444851471,1.6013243450191457,1.5083919577375298,1.529024011556464,0.0981618180988768,1.6604692594062538,1.5039715889098364,0.7166508460203715,0.2771573932081708,1.1204374912115682,1.1660834717081272,0.7851531834693475,0.2970982140568168
GS0014_ALKL1_HUMAN,ALKL1,-2.268540104027423,-2.203741499770352,-1.8593113106250296,-1.6916718474771013,-2.0674997725562587,-1.8228260114386536,-1.8597666677031623,-1.9189342545412256,-1.699847408414744,-1.85532116058968,-1.819056530046572,-1.891906509588278,-1.7663711963733115,-1.6073042258115908
GS0015_ALKL2_HUMAN,ALKL2,-0.6357849892026763,-0.2732701499235634,-0.5682521039330997,-0.7893195800664294,-0.5587138200782533,-0.0528927009917374,-0.4300888160130345,-0.2874086790222385,-0.1208179210697562,-0.1101669011927235,-0.7059298033736585,-0.3223982753723469,-0.372345854281356,-0.2510145586107217
GS0016_ALR_HUMAN,ALR,-0.7729148086883892,-0.2369029575378096,-0.6577766605073521,-0.5602805479498603,-0.6871156488870369,-0.8386803127081119,-0.439946764076053,-0.5966485535073129,-0.8884694229770158,-0.5777473293630475,-0.7462340467434903,-0.8714884018956752,-0.9156797667234092,-0.8386463591062778
GS0017_AMBN_HUMAN,AMBN,-1.2521984048831394,-1.421813998738168,-2.0550418115453466,-1.8480564020996004,-1.0488880250056516,-1.0157907181739656,-0.914023650857211,-2.046222886237773,-1.3199721313299957,-0.9264910124663092,-1.830266708336015,-1.4153323553056063,-1.1718539041578009,-1.5596826909254888
GS0018_AMELX_HUMAN,AMELX,-1.4498895651664867,-1.0429976847052416,-1.1715197412005214,-1.183609981036735,-0.8523419747713561,-1.048610172338078,-0.9926194356515444,-1.2140431481127898,-0.9553404560392522,-0.9661885638356188,-1.2838546351810385,-1.2544908546142093,-1.18363536764714,-0.7481759885531964
GS0019_AMPR_CONTROL,AMPR,0.2221115835405473,0.0601505767403516,0.1190800661835922,0.0647207426086069,0.0856340891923732,0.0827391219007864,0.0246815419687429,-0.0091868322022872,-0.0137583218185692,0.0656342079409384,-0.0678188223234848,0.0640663990080199,0.0307001561791189,0.0352511518913711
GS0020_AMRP_HUMAN,AMRP,0.7663239047799308,0.0148893089016794,0.3496613530992096,0.3175223629990835,0.2646227442898663,0.0708073628905694,-0.2045979665876078,0.0371381305148084,0.4382278726882838,0.0224925952412391,0.3187615611179968,0.018419650673378,-0.0244315694042764,-0.0121770664983351
GS0021_ANFB_HUMAN,ANFB,1.2106470801251792,1.102046389618291,1.1354371922384043,1.0159164049610343,1.2221611978137918,1.045634886873195,1.0710741461066269,1.08942803878171,0.8372796596300898,1.0344425813938916,0.9686159277060896,1.0101659299160757,1.120800787138892,1.0543265854760977
GS0022_ANGL3_HUMAN,ANGL3,-0.1639718968989267,-0.3472052655280251,0.3876106886947905,-0.1430618282959663,-0.3106816026369969,0.0367845694144097,-0.1824154720370447,-0.4805546966924243,0.3697273112762058,-0.30568975833474,0.17846930068964,-0.4426818010921867,0.3515168226792049,-0.3630061137364357
GS0023_ANGL3_HUMAN,ANGL3,-1.3058178489095449,-1.48177220952992,-1.057601793725869,-1.403583288112921,-1.289659789700142,-1.3321031593165724,-1.343486415526172,-1.5313598123366514,-0.893086435678411,-1.2562898214852467,-1.3693547051768,-2.079888211612313,-1.6768264207922563,-0.9986388181436076
GS0024_ANGL3_HUMAN,ANGL3,-0.2464258684438602,0.1173745995359043,-0.8027648261335791,-2.3445249560765973,0.2676863180654862,-1.759320895761502,-0.4588155346947982,-2.8083462360390268,-1.0706957600443134,-1.4913825825917728,-1.5181558381713804,-1.3212672321096974,-1.2855156647812125,-1.1990926871797667
GS0025_ANGL8_HUMAN,ANGL8,0.3014663004905156,0.0317400247972905,0.0943125516750758,0.2100988808475659,-0.126207138271523,-0.2592516150068444,-0.1648133773271141,-0.1921551184556911,-0.1362069227771805,-0.263524929933725,-0.0064766422450155,-0.2726796593957221,-0.26996251839698,-0.1332624066538628
GS0026_APOA1_HUMAN,APOA1,-0.4384369185531405,-0.7907131284721434,-1.2599632278559838,-0.4615499864588663,-0.6772217905061666,-0.8984230942338307,-0.6476161926808093,-1.1101980183181173,-0.7855326802108777,-0.5508772726487337,-1.4542051797127638,-0.7856527029662956,-0.8636910422920909,-0.5924877948037235
GS0027_APOA1_HUMAN,APOA1,0.488094113125765,0.3194179414143967,-0.1040924353668728,0.055131385724902,0.378612108302832,0.0445201259720082,0.6622763269280245,-0.1925363565967153,0.2335296520320735,0.1982228702897082,-0.2984584766996736,-0.3611118128243884,0.0142827727764096,-0.019891640403344
GS0028_APOA2_HUMAN,APOA2,-0.9368802507934362,-0.6554382089488815,-0.8518401333177756,-0.7636410544154693,-0.7983376506609847,-0.9437724300452306,-0.6683792331416321,-0.9287491325219808,-0.5051911553340851,-1.0137653303493153,-0.9588142631446016,-0.7512907596126439,-0.7834560667193706,-0.5531719787491589
GS0029_APOA2_HUMAN,APOA2,0.2664563822533576,0.0076191936963887,0.3191533314632,0.123787655024703,0.1968337427544231,0.3538682248535174,0.0170082581415176,-0.0345687824804823,0.1738666301471862,0.4118196851761393,0.2699645364764471,0.3322349424048898,0.4600825637132466,0.4295588069634668
GS0030_APOE_HUMAN,APOE,1.4679572008444186,1.600880355275219,0.9369863314380922,0.9453090136339792,1.2035609284015276,0.1703857039017702,1.246341108591439,0.9711223934275656,1.296988244436147,0.7068386523628174,0.6302008643354249,0.9344989353992492,1.6208932259586,0.4966488821865162
GS0031_AREG_HUMAN,AREG,0.3185550278728506,0.3358947932995484,0.3561428016270529,0.3641362534507344,0.7067658074452687,0.1707914277532172,0.7078790583418169,0.3697091574226654,0.3118929950204414,0.2533549497010714,0.2431870086235239,0.2673045117983577,0.1634658218842037,0.5029313658974424
GS0032_ARTN_HUMAN,ARTN,-0.2176580811566939,-0.274775627277636,-0.2111417105082935,0.0579901919326584,-0.471823152798132,-0.3402154675012205,-0.2850210207879158,-0.0889099488024811,0.1541360542434979,-0.0450337254305868,-0.186475127644897,-0.0677849125841696,0.2729106233592304,-0.1668901124471951
GS0033_ASIP_HUMAN,ASIP,0.193920497425605,-0.086029216219444,0.1601695871815565,0.1375994648358744,0.3337741519983392,0.1551603294565406,-0.0285833156907546,-0.0793275667889688,0.085585666209619,-0.1810946041523813,0.121147906666458,-0.2108702368591153,0.2859713022173427,0.0140155379567996
GS0034_BDNF_HUMAN,BDNF,-1.544849042556704,-1.220320507467072,-1.3251506866296694,-1.5282300227735135,-1.5066018599648388,-1.3495106163798989,-1.1978387003418316,-1.5945269688712091,-1.470253067269324,-1.4998674797333766,-1.4808432979620072,-1.86109434536505,-1.507028569522879,-1.4188025968016014
GS0035_BMP1_HUMAN,BMP1,-3.694514474984729,-0.8465135433031885,0.3956669067772647,0.6499601962646806,-1.3681921072315295,0.9183373015297582,0.8464217268735479,1.7442872254417092,0.3127863914659641,1.5136317908029295,1.143981604198125,-0.0887250830440611,0.4045366801682521,1.8834703861131588
GS0036_BMP10_HUMAN,BMP10,0.0456752038476668,0.2865955299406586,0.305440972620234,0.0364276930608618,0.3452283637230273,0.4474673662823836,-0.0433144771765245,0.2156862281325402,0.278499413310902,0.1142002855631076,0.2974311317207085,0.2860449458859406,0.3945158180831285,0.2906684044291516
GS0037_BMP15_HUMAN,BMP15,-1.1556065080184317,-1.0165015933370238,-0.6865746478030985,-0.8711874790149494,-0.881343069091935,-0.8624972193741218,-0.7567287873442972,-0.9594694416829874,-0.8642225022072232,-1.1623144118825888,-1.0305897113707996,-1.1460754649852287,-1.017750179045752,-1.0216368770799529
GS0038_BMP2_HUMAN,BMP2,-0.4778943332452066,-0.6998482499286602,-0.7549363852483477,-0.7194119952929956,-0.3577408256166556,-0.6397301488427765,-0.5216505271548879,-0.9050077487821256,-0.5910931566227955,-0.7111076878224853,-0.6740120182862377,-0.9680618157187304,-0.5887433742868353,-0.7554002155076347
GS0039_BMP3_HUMAN,BMP3,-1.2233765303619482,-1.809195175979247,-1.5756752134920573,-1.568357449367154,-2.0804781613081698,-2.0852225451966717,-1.4074488301277075,-2.1379101863139187,-1.175305174573861,-1.823880090759612,-1.245998672198496,-2.02654912269903,-1.4858475317390305,-1.928229026788812
GS0040_BMP4_HUMAN,BMP4,-0.028105992841084,0.0407944125066226,-0.5766636490825654,-0.1337787341060448,0.1123186571072913,-0.0681387752078332,-0.3067575198159247,-0.2279260254142414,0.0331545130149226,0.0808729396723499,0.0222726931558217,-0.2638226451922634,0.1295047040969521,0.1197438461451394
GS0041_BMP5_HUMAN,BMP5,0.0018206869595278,0.6149233703956618,0.1128616880565633,0.1775331403625006,0.2719846558691543,0.1795193266940824,0.3059471163692748,0.15134755881183,0.0821362885324994,0.4759575579376793,0.1932538423860954,0.1229564419240425,0.0354847391281403,0.6205879675075021
GS0042_BMP6_HUMAN,BMP6,0.2101688434552766,0.165470408954043,0.1190605918651321,0.206207519106595,0.0934376511521168,-0.1753227390052796,0.2545719365823977,0.062039129926191,-0.111267533347755,0.1325990405089836,0.2849379041884727,0.590560490003174,-0.0537559159281197,0.28611142014317
GS0043_BMP7_HUMAN,BMP7,-0.1927112714961989,-0.1435696341329198,-0.6663028142337293,-0.5230370876502892,-0.6142196261160304,-0.0078262056627824,-0.242957535358677,-0.6542262247652513,-0.2581642806413793,-0.2615893747968751,-0.2712852558836438,-0.3124558684651077,-0.3986860586471543,-0.3169973138892175
