cluster,n_cells
0,1521
1,877
2,1356
3,959
4,713
5,1489
6,516
7,1462
8,222
9,482
10,1088
11,1333
12,753
13,983
14,2117
15,903
16,1467
17,1855
18,1391
19,2137
20,434
21,1128
22,1202
23,1708
24,892
25,2342
26,442
27,2033
28,737
29,2849
30,2102
31,408
32,967
33,634
34,233
35,699
36,711
37,809
38,1178
39,67
40,2169
41,1200
42,710
43,703
44,570
45,415
46,936
47,829
48,862
49,824
50,362
51,774
52,706
53,1619
54,1150
55,810
56,442
57,274
58,1953
59,923
60,715
61,1724
62,349
63,574
64,1122
65,1063
66,294
67,572
68,767
69,518
70,355
71,295
72,167
73,136
74,484
75,202
