perturbation,cluster,delta_pct,p_enrich,p_deplete,q_enrich,q_deplete,n_cells,direction
GS0185_FGF4,1,26.165769644779335,9.999000099990002e-05,1.0,0.019448055194480555,1.0,75,enriched
GS0187_FGF6,1,20.919016398026084,9.999000099990002e-05,1.0,0.019448055194480555,1.0,77,enriched
OG0006_PDYN,15,11.367713735851519,9.999000099990002e-05,1.0,0.03889611038896111,1.0,33,enriched
GS0432_THRB,15,10.357612725750508,0.00019998000199980003,1.0,0.03889611038896111,1.0,36,enriched
GS0195_FNDC5,20,6.816830808283663,9.999000099990002e-05,1.0,0.03889611038896111,1.0,67,enriched
GS0185_FGF4,3,-19.98708288482239,1.0,0.00019998000199980003,1.0,0.019448055194480555,75,depleted
GS0184_FGF3,3,-21.604104161418135,1.0,0.00019998000199980003,1.0,0.019448055194480555,47,depleted
GS0187_FGF6,3,-22.792277690017194,1.0,9.999000099990002e-05,1.0,0.019448055194480555,77,depleted
GS0174_FGF16,3,-23.441628339367842,1.0,9.999000099990002e-05,1.0,0.019448055194480555,44,depleted
OG0182_D104A,5,11.011207496992338,9.999000099990002e-05,1.0,0.03889611038896111,1.0,34,enriched
