gene,panels
ACTL6A,PL
ACTL6B,PL
ARID1A,PL
ARID4A,PL
ARID4B,PL
BCL7A,PL
BCL7B,PL
BCL7C,PL
BICRA,PL
BICRAL,PL
BRD9,PL
BRMS1,PL
BRMS1L,PL
CITED1,PL
CXCL5,PL
CYP26C1,"PL,EC"
DNMT3B,PL
DPF2,PL
DPPA3,PL
DPPA4,PL
DPPA5,PL
EPCAM,PL
ESRRB,PL
FAM172A,"PL,EC"
FERMT2,PL
FGF2,PL
GJA1,"PL,ME"
GSK3B,PL
HDAC1,PL
HDAC2,PL
HES1,PL
HESX1,PL
HMGA2,"PL,ME,EN"
HNRNPU,PL
IDO1,PL
ING1,PL
ING2,PL
JAG1,PL
KAT7,PL
KBTBD8,"PL,EC"
KDM1A,PL
KLF4,PL
KLHL12,"PL,EC"
L1TD1,PL
LCK,PL
LIN28A,PL
LIN28B,PL
LOXL2,PL
MTCH2,PL
MYC,PL
N4BP2L2,PL
NANOG,PL
NCOA3,PL
NELFB,PL
NODAL,"PL,EN"
NOLC1,"PL,EC"
NOTCH1,"PL,ME"
NRG1,"PL,EC"
NUDT21,PL
OGT,PL
PDCD2,PL
PDCD6,"PL,EC"
PEF1,"PL,EC"
PHF10,PL
POU5F1,PL
PTN,PL
RBBP4,PL
RBBP7,PL
RBM24,PL
REST,PL
SAP30,PL
SAP30L,PL
SF3B3,PL
SIN3A,PL
SINHCAF,PL
SIRT6,PL
SMARCA2,PL
SMARCA4,PL
SMARCB1,PL
SMARCC1,PL
SMARCD1,PL
SMARCE1,PL
SOX11,"PL,EN"
SOX2,PL
SOX5,PL
SOX6,PL
SOX8,"PL,EC"
SOX9,"PL,ME"
SS18,PL
SUDS3,PL
TAPT1,"PL,EC"
TCF15,"PL,ME"
TCOF1,"PL,EC"
TDGF1,"PL,ME,MS"
TERT,PL
TET1,PL
TGFB2,"PL,EC,ME,EN"
THPO,PL
TRIM22,PL
UTF1,PL
YTHDF2,PL
ZFP36L2,PL
ZFP42,PL
ZNF706,PL
ARL13B,EC
BCL10,EC
CDH2,EC
CDH9,EC
CELSR1,EC
COBL,EC
COL2A1,EC
CORO1C,EC
DEAF1,EC
DMBX1,EC
DRD4,EC
DVL1,"EC,ME"
DVL2,"EC,ME"
DYNLL1,"EC,ME"
EDA2R,EC
ERBB4,"EC,ME"
FBXL17,EC
FUZ,EC
GRHL2,EC
GRHL3,EC
IFT122,"EC,ME"
INTU,EC
ITGA6,EC
LHX1,"EC,EN,MS"
LMX1A,EC
LRP2,EC
LRP6,EC
MAP2,EC
MEF2C,"EC,ME"
MTHFD1,"EC,ME"
MTHFD1L,EC
MTHFR,EC
MYO3B,EC
NOS2,EC
NRTN,EC
OLFM3,EC
OTUD5,EC
PAPLN,EC
PAX6,EC
PHACTR4,EC
PKD1,"EC,ME"
PKD2,"EC,ME"
PLXNB2,EC
PRICKLE1,EC
PROX1,EC
PTCH1,"EC,MS"
RADIL,EC
SCRIB,EC
SDC2,EC
SEMA3A,EC
SEMA3B,EC
SEMA3C,EC
SEMA3D,EC
SEMA3E,EC
SEMA3F,EC
SEMA3G,EC
SEMA4A,EC
SEMA4B,EC
SEMA4C,EC
SEMA4D,EC
SEMA4F,EC
SEMA4G,EC
SEMA5A,EC
SEMA5B,EC
SEMA6A,EC
SEMA6B,EC
SEMA6C,EC
SEMA6D,EC
SEMA7A,EC
SKI,EC
SMURF1,EC
SOX10,EC
STIL,"EC,MS"
STX2,EC
TBX1,"EC,ME"
TGFB1,"EC,ME"
TRIM71,EC
TSC2,"EC,ME"
VANGL2,EC
VASP,EC
WDPCP,EC
ZBTB7B,EC
ZNF358,EC
ADAP2,ME
AKAP13,ME
ALOX15,ME
ALPK3,ME
APELA,ME
BCOR,ME
BMP2,ME
BMP4,ME
BMP7,ME
BMPR2,ME
BORCS8,ME
BVES,ME
CACNA1C,ME
CACYBP,ME
CASP8,ME
CCM2,ME
CCM2L,ME
CDKN1A,ME
CDKN1B,ME
CHD7,ME
CITED2,ME
CRB2,"ME,MS"
CRELD1,ME
CRIP1,ME
CXADR,ME
DNAAF4,ME
DZIP1,ME
ECE1,ME
EPHB4,ME
ERBB3,ME
FBN1,ME
FGF12,ME
FGF8,"ME,MS"
FKBP1A,ME
FLRT2,ME
FLRT3,ME
FN1,"ME,EN"
GATA5,ME
GDF11,ME
GLI2,"ME,EN"
GPC3,"ME,MS"
HAND1,ME
HCK,ME
HDAC9,ME
HEG1,ME
ID2,"ME,EN"
IKZF1,ME
IKZF3,ME
IL6ST,ME
INSR,ME
ISL1,ME
ITGA2,ME
ITGA3,ME
ITGB1,ME
ITGB4,ME
JAK2,ME
KAT2A,ME
KAT2B,ME
KDM6A,ME
KDM6B,ME
KLF5,ME
MEF2A,ME
MEF2D,ME
MEGF8,"ME,MS"
MESD,ME
MESP1,"ME,MS"
MESP2,"ME,MS"
MEST,ME
MICAL2,ME
MKKS,"ME,MS"
MYL7,ME
MYOCD,ME
NCOA6,ME
NDRG4,ME
NDUFV2,ME
NF1,ME
NIPBL,"ME,EN"
NTRK3,ME
OXSR1,"ME,MS"
PCSK5,"ME,EN"
PDGFRA,"ME,EN"
PDLIM1,ME
PDLIM2,ME
PDLIM3,ME
PDLIM4,ME
PDLIM5,ME
PDLIM7,ME
PHIP,ME
PKP2,ME
PLCE1,ME
POLR2D,ME
POPDC3,ME
POU6F1,ME
PRMT1,ME
PTEN,ME
PTK2,ME
PTPN11,ME
RAMP2,ME
SALL1,"ME,EN"
SCUBE1,ME
SCX,"ME,MS"
SGCD,ME
SGCZ,ME
SH3PXD2B,ME
SMAD2,"ME,MS"
SMG9,ME
SMYD4,ME
SNAI1,ME
SOX4,ME
